RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a1_x4,a1_x5,a1_x6,a1_x7,a1_x8,a2_x1,a3_x2,a2_x3,a2_x4,a2_x5,a2_x6,a2_x7,a2_x8
,,,,,,,,,,,,,,,,,,,,
1539,7,4,4,2,1,85,14,1,120,50,2,300,1,75,17,2,60,75,3,250
,,,,,,,,,,,,,,,,,,,,
1539,16,5,5,1,1,95,24,1,30,25,2,100,1,75,14,2,60,0,3,200
,,,,,,,,,,,,,,,,,,,,
1538,8,1,1,1,1,75,14,1,30,25,3,150,1,95,17,2,120,0,1,300
,,,,,,,,,,,,,,,,,,,,
1538,2,2,2,1,1,95,24,1,60,0,1,150,1,75,17,2,120,25,2,250
,,,,,,,,,,,,,,,,,,,,
1538,3,3,3,1,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
1538,20,4,4,1,1,75,24,2,120,0,1,200,1,85,14,1,60,50,3,250
,,,,,,,,,,,,,,,,,,,,
1538,22,5,5,2,1,85,17,1,30,0,1,150,1,95,24,2,120,50,3,200
,,,,,,,,,,,,,,,,,,,,
1543,17,1,1,2,1,95,17,1,120,50,1,250,1,85,14,2,60,75,2,300
,,,,,,,,,,,,,,,,,,,,
1543,4,2,2,1,1,95,24,1,120,25,3,150,1,75,17,2,120,75,2,100
,,,,,,,,,,,,,,,,,,,,
1543,19,3,3,2,1,85,17,1,120,0,2,200,1,95,24,2,60,50,1,100
,,,,,,,,,,,,,,,,,,,,
1543,18,4,4,2,1,75,17,1,60,25,2,200,1,85,24,2,120,0,3,250
,,,,,,,,,,,,,,,,,,,,
1543,5,5,5,2,1,75,14,2,30,25,1,150,1,95,17,1,60,75,3,200
,,,,,,,,,,,,,,,,,,,,
1540,30,1,1,2,1,95,14,1,120,0,3,100,1,75,24,2,120,25,1,200
,,,,,,,,,,,,,,,,,,,,
1540,3,2,2,1,1,75,17,1,30,50,3,200,1,95,14,2,120,25,2,150
,,,,,,,,,,,,,,,,,,,,
